SNo,City,Category,AQI_Value,Dominant_Pollutant,Stations,report_date,ingestion_timestamp
62,Charkhi Dadri,Very Poor,348.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
63,Chennai,Moderate,130.0,"PM2.5",6/9,2025-11-28,2025-11-28 16:55:23.307601
64,Chhapra,Satisfactory,72.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
65,Chikkamagaluru,Satisfactory,71.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
66,Chittoor,Moderate,143.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
67,Chittorgarh,Moderate,146.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
68,Churu,Poor,238.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
69,Coimbatore,Moderate,105.0,"PM2.5",1/2,2025-11-28,2025-11-28 16:55:23.307601
70,Cuddalore,Satisfactory,99.0,"PM2.5",2/2,2025-11-28,2025-11-28 16:55:23.307601
71,Cuttack,Poor,223.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
72,Dausa,Moderate,155.0,"O3",1/1,2025-11-28,2025-11-28 16:55:23.307601
73,Davanagere,Moderate,158.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
74,Dehradun,Satisfactory,65.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
75,Delhi,Very Poor,369.0,"PM2.5",39/39,2025-11-28,2025-11-28 16:55:23.307601
76,Dewas,Moderate,165.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
77,Dhanbad,Moderate,115.0,"PM10",1/2,2025-11-28,2025-11-28 16:55:23.307601
78,Dharuhera,Very Poor,376.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
79,Dharwad,Satisfactory,89.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
80,Dholpur,Moderate,184.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
81,Dhule,Moderate,140.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
82,Dindigul,Satisfactory,66.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
83,Dungarpur,Poor,249.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
84,Durgapur,Satisfactory,94.0,"PM10",3/3,2025-11-28,2025-11-28 16:55:23.307601
85,Eloor,Satisfactory,65.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
86,Faridabad,Moderate,190.0,"PM, PM2.510",3/4,2025-11-28,2025-11-28 16:55:23.307601
87,Fatehabad,Moderate,162.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
88,Firozabad,Satisfactory,78.0,"PM10",1/2,2025-11-28,2025-11-28 16:55:23.307601
89,Gandhinagar,Moderate,130.0,"PM, PM2.510",2/3,2025-11-28,2025-11-28 16:55:23.307601
90,Gangtok,Good,15.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
91,Gaya,Moderate,139.0,"PM, PM2.510",3/3,2025-11-28,2025-11-28 16:55:23.307601
92,Ghaziabad,Very Poor,347.0,"PM, PM2.510",4/4,2025-11-28,2025-11-28 16:55:23.307601
93,Gorakhpur,Satisfactory,90.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
94,Greater Noida,Very Poor,378.0,"PM10",2/2,2025-11-28,2025-11-28 16:55:23.307601
95,Gummidipoondi,Poor,220.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
96,Gurugram,Very Poor,320.0,"PM2.5",4/4,2025-11-28,2025-11-28 16:55:23.307601
97,Guwahati,Satisfactory,86.0,"PM, PM2.510",4/4,2025-11-28,2025-11-28 16:55:23.307601
98,Gwalior,Poor,262.0,"O, PM32.5",3/4,2025-11-28,2025-11-28 16:55:23.307601
99,Hajipur,Moderate,121.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
100,Haldia,Moderate,166.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
101,Hanumangarh,Moderate,175.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
102,Hapur,Poor,265.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
103,Haveri,Good,49.0,"NO2",1/1,2025-11-28,2025-11-28 16:55:23.307601
104,Hisar,Moderate,153.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
105,Howrah,Moderate,189.0,"PM2.5",5/5,2025-11-28,2025-11-28 16:55:23.307601
106,Hubballi,Satisfactory,58.0,"PM10",1/2,2025-11-28,2025-11-28 16:55:23.307601
107,Hyderabad,Moderate,120.0,"PM2.5",12/14,2025-11-28,2025-11-28 16:55:23.307601
108,Indore,Moderate,105.0,"PM, PM2.510",5/6,2025-11-28,2025-11-28 16:55:23.307601
109,Jabalpur,Moderate,113.0,"PM, PM2.510",4/4,2025-11-28,2025-11-28 16:55:23.307601
110,Jaipur,Moderate,188.0,"PM2.5",6/6,2025-11-28,2025-11-28 16:55:23.307601
111,Jaisalmer,Poor,221.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
112,Jalandhar,Moderate,134.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
113,Jalgaon,Moderate,163.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
114,Jalna,Moderate,108.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
115,Jalore,Poor,242.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
116,Jhalawar,Poor,218.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
117,Jhansi,Satisfactory,56.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
118,Jhunjhunu,Poor,245.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
119,Jind,Poor,219.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
120,Jodhpur,Moderate,193.0,"PM2.5",5/5,2025-11-28,2025-11-28 16:55:23.307601
121,Kadapa,Satisfactory,70.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
122,Kaithal,Moderate,108.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
123,Kalaburagi,Satisfactory,54.0,"O, PM310",2/2,2025-11-28,2025-11-28 16:55:23.307601
124,Kalyan,Moderate,141.0,"PM10",2/2,2025-11-28,2025-11-28 16:55:23.307601
125,Kannur,Satisfactory,62.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
126,Kanpur,Moderate,112.0,"PM, PM2.510",3/4,2025-11-28,2025-11-28 16:55:23.307601
127,Karauli,Moderate,125.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
128,Karnal,Moderate,183.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
129,Katihar,Satisfactory,78.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
130,Katni,Moderate,198.0,"O3",1/1,2025-11-28,2025-11-28 16:55:23.307601
131,Khanna,Moderate,102.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
132,Khurja,Poor,267.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
133,Kishanganj,Good,44.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
134,Kohima,Satisfactory,73.0,"SO2",1/1,2025-11-28,2025-11-28 16:55:23.307601
135,Kolhapur,Moderate,164.0,"PM, PM2.510",2/2,2025-11-28,2025-11-28 16:55:23.307601
136,Kolkata,Moderate,181.0,"PM2.5",7/7,2025-11-28,2025-11-28 16:55:23.307601
137,Kollam,Poor,241.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
138,Koppal,Satisfactory,71.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
139,Korba,Satisfactory,88.0,"PM10",2/2,2025-11-28,2025-11-28 16:55:23.307601
140,Kota,Poor,270.0,"PM2.5",3/3,2025-11-28,2025-11-28 16:55:23.307601
141,Kunjemura,Satisfactory,74.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
142,Kurukshetra,Moderate,143.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
143,Latur,Moderate,144.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
144,Lucknow,Moderate,154.0,"PM, PM2.510",6/6,2025-11-28,2025-11-28 16:55:23.307601
145,Madikeri,Good,47.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
146,Madurai,Satisfactory,87.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
147,Mahad,Moderate,199.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
148,Maihar,Satisfactory,95.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
149,Malegaon,Moderate,105.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
150,Mandi Gobindgarh,Moderate,112.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
151,Mandideep,Moderate,164.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
152,Mandikhera,Poor,215.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
153,Manesar,Very Poor,368.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
154,Mangalore,Good,37.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
155,Manguraha,Satisfactory,70.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
156,Meerut,Poor,224.0,"PM, PM2.510",3/3,2025-11-28,2025-11-28 16:55:23.307601
157,Milupara,Satisfactory,93.0,"O3",1/1,2025-11-28,2025-11-28 16:55:23.307601
158,Mira-Bhayandar,Moderate,124.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
159,Moradabad,Moderate,102.0,"PM, SO, PM2.5210",6/7,2025-11-28,2025-11-28 16:55:23.307601
160,Motihari,Satisfactory,75.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
161,Mumbai,Moderate,128.0,"PM, PM2.510",24/30,2025-11-28,2025-11-28 16:55:23.307601
162,Munger,Moderate,128.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
163,Muzaffarnagar,Poor,244.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
164,Muzaffarpur,Moderate,108.0,"PM, O2.53",3/3,2025-11-28,2025-11-28 16:55:23.307601
165,Mysuru,Satisfactory,100.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
166,Nagaon,Satisfactory,62.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
167,Nagaur,Poor,218.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
168,Nagpur,Moderate,105.0,"PM, PM2.510",4/4,2025-11-28,2025-11-28 16:55:23.307601
169,Naharlagun,Satisfactory,99.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
170,Nalbari,Satisfactory,66.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
171,Nanded,Poor,207.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
172,Narnaul,Satisfactory,85.0,"NO2",1/1,2025-11-28,2025-11-28 16:55:23.307601
173,Nashik,Moderate,146.0,"PM2.5",4/4,2025-11-28,2025-11-28 16:55:23.307601
174,Navi Mumbai,Moderate,133.0,"PM, PM2.510",6/8,2025-11-28,2025-11-28 16:55:23.307601
175,Nayagarh,Satisfactory,72.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
176,Noida,Very Poor,388.0,"PM2.5",4/4,2025-11-28,2025-11-28 16:55:23.307601
177,Pali,Poor,218.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
178,Palkalaiperur,Good,27.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
179,Palwal,Satisfactory,91.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
180,Panchgaon,Moderate,115.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
181,Panchkula,Satisfactory,92.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
182,Panipat,Moderate,190.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
183,Parbhani,Poor,270.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
184,Patiala,Moderate,141.0,"PM10",1/1,2025-11-28,2025-11-28 16:55:23.307601
185,Patna,Moderate,137.0,"PM2.5",6/6,2025-11-28,2025-11-28 16:55:23.307601
186,Perundurai,Satisfactory,79.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
187,Pimpri-Chinchwad,Moderate,178.0,"PM2.5",4/4,2025-11-28,2025-11-28 16:55:23.307601
188,Pithampur,Poor,235.0,"PM2.5",1/1,2025-11-28,2025-11-28 16:55:23.307601
